"no_heading_1"	"no_heading_2"	"no_heading_3"	"no_heading_4"	"no_heading_5"	"no_heading_6"	"no_heading_7"	"no_heading_8"	"no_heading_9"	"no_heading_10"	"no_heading_11"	"no_heading_12"	"no_heading_13"	"no_heading_14"	"no_heading_15"	"no_heading_16"	"no_heading_17"	"no_heading_18"	"no_heading_19"	"no_heading_20"	"no_heading_21"	"no_heading_22"	"no_heading_23"
"As"	1.014649665159051e-06	"HAsO2"	1.589725961269463e-11	"As(OH)3"	1.388609514749584e-11	"pH"	5.000000000000000e+00	"pe"	-4.453821577442167e+00	"PO2"	-8.000000000000000e+01	"PH2"	-1.018876943643291e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"As"	1.014618198397771e-06	"HAsO2"	3.182950381325435e-11	"As(OH)3"	2.780276202446274e-11	"pH"	5.000000000000000e+00	"pe"	-4.353319179339358e+00	"PO2"	-7.959799000000000e+01	"PH2"	-1.219881739848909e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"As"	9.826935246775325e-07	"HAsO2"	1.645880458506303e-08	"As(OH)3"	1.437661701695372e-08	"pH"	5.000000000000000e+00	"pe"	-3.448796599733919e+00	"PO2"	-7.597989900000000e+01	"PH2"	-3.028926899059787e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HAsO2"	5.221639066933030e-07	"As(OH)3"	4.561054081871476e-07	"HAsS2"	3.633762501534578e-08	"pH"	5.000000000000000e+00	"pe"	-2.443771578818474e+00	"PO2"	-7.195979900000000e+01	"PH2"	-5.038976940890677e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HAsO2"	5.221664553628138e-07	"As(OH)3"	4.561076776017182e-07	"HAsS2"	3.633821253932754e-08	"pH"	5.000000000000000e+00	"pe"	-2.946284099373562e+00	"PO2"	-7.396984900000000e+01	"PH2"	-4.033951899780501e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"As"	8.332451913488243e-07	"HAsO2"	9.336133224580089e-08	"As(OH)3"	8.155028027981757e-08	"pH"	5.000000000000000e+00	"pe"	-3.197540351204871e+00	"PO2"	-7.497487400000000e+01	"PH2"	-3.531439396117883e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HAsO2"	5.221664553628159e-07	"As(OH)3"	4.561076776017201e-07	"HAsS2"	3.633821253932769e-08	"pH"	5.000000000000000e+00	"pe"	-2.946284099373562e+00	"PO2"	-7.396984900000000e+01	"PH2"	-4.033951899780501e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"As"	5.825704148616104e-07	"HAsO2"	2.223571198364058e-07	"As(OH)3"	1.942269350848713e-07	"pH"	5.000000000000000e+00	"pe"	-3.071912350877599e+00	"PO2"	-7.447236200000000e+01	"PH2"	-3.782695396772428e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HAsO2"	5.221664553628159e-07	"As(OH)3"	4.561076776017201e-07	"HAsS2"	3.633821253932769e-08	"pH"	5.000000000000000e+00	"pe"	-2.946284099373562e+00	"PO2"	-7.396984900000000e+01	"PH2"	-4.033951899780501e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"As"	3.478323340709268e-07	"HAsO2"	3.431571399065711e-07	"As(OH)3"	2.997446603585989e-07	"pH"	5.000000000000000e+00	"pe"	-3.009098350314408e+00	"PO2"	-7.422110600000001e+01	"PH2"	-3.908323397898811e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HAsO2"	5.221664553628159e-07	"As(OH)3"	4.561076776017201e-07	"HAsS2"	3.633821253932769e-08	"pH"	5.000000000000000e+00	"pe"	-2.946284099373562e+00	"PO2"	-7.396984900000000e+01	"PH2"	-4.033951899780501e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HAsO2"	4.262994664076678e-07	"As(OH)3"	3.723687304040769e-07	"As"	1.862761488735827e-07	"pH"	5.000000000000000e+00	"pe"	-2.977691099883932e+00	"PO2"	-7.409547700000000e+01	"PH2"	-3.971137898759762e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HAsO2"	3.824760885023781e-07	"As(OH)3"	3.340894062955597e-07	"As"	2.714300116393426e-07	"pH"	5.000000000000000e+00	"pe"	-2.993394600113707e+00	"PO2"	-7.415829100000001e+01	"PH2"	-3.939730898300212e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
