"no_heading_1"	"no_heading_2"	"no_heading_3"	"no_heading_4"	"no_heading_5"	"no_heading_6"	"no_heading_7"	"no_heading_8"	"no_heading_9"	"no_heading_10"	"no_heading_11"	"no_heading_12"	"no_heading_13"	"no_heading_14"	"no_heading_15"	"no_heading_16"	"no_heading_17"	"no_heading_18"	"no_heading_19"	"no_heading_20"	"no_heading_21"	"no_heading_22"	"no_heading_23"
"CH4"	1.311826589819269e-03	"C2H6"	3.407213722314630e-10	"pH"	5.000000000000000e+00	"pe"	-4.453821573966886e+00	"PO2"	-8.000000000000000e+01	"PH2"	-1.018876950593854e+00	"temp"	2.820000000000000e+01	2.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	1.311825737305445e-03	"C2H6"	5.412571019844432e-10	"pH"	5.000000000000000e+00	"pe"	-4.353319175864184e+00	"PO2"	-7.959799000000000e+01	"PH2"	-1.219881746799258e+00	"temp"	2.820000000000000e+01	2.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	1.311790318235416e-03	"C2H6"	3.486786170719133e-08	"CO2"	1.442357594404870e-12	"pH"	5.000000000000000e+00	"pe"	-3.448796596368069e+00	"PO2"	-7.597989900000000e+01	"PH2"	-3.028926905791488e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	1.239418088168569e-03	"CH4"	6.420421727559754e-05	"CO2"	7.743793519734014e-06	"pH"	5.000000000000000e+00	"pe"	-2.443776174616322e+00	"PO2"	-7.195979900000000e+01	"PH2"	-5.038967749294981e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	1.311456743900612e-03	"C2H6"	3.525570534061447e-07	"CO2"	1.510297428543772e-08	"pH"	5.000000000000000e+00	"pe"	-2.946284099373562e+00	"PO2"	-7.396984900000000e+01	"PH2"	-4.033951899780501e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	1.239418088168568e-03	"CH4"	6.420421727559754e-05	"CO2"	7.743793519734014e-06	"pH"	5.000000000000000e+00	"pe"	-2.443776174616322e+00	"PO2"	-7.195979900000000e+01	"PH2"	-5.038967749294981e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	6.612133779237845e-04	"CH4"	6.495012954576288e-04	"CO2"	7.654710714965510e-07	"pH"	5.000000000000000e+00	"pe"	-2.695030291077239e+00	"PO2"	-7.296482399999999e+01	"PH2"	-4.536459516373148e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	1.311036337808189e-03	"C2H6"	6.283576740143253e-07	"CO2"	1.527380488033147e-07	"pH"	5.000000000000000e+00	"pe"	-2.820656099974585e+00	"PO2"	-7.346733700000000e+01	"PH2"	-4.285207898578456e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	6.612133779237847e-04	"CH4"	6.495012954576394e-04	"CO2"	7.654710714965541e-07	"pH"	5.000000000000000e+00	"pe"	-2.695030291077239e+00	"PO2"	-7.296482399999999e+01	"PH2"	-4.536459516373148e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	1.158319875579243e-03	"C"	1.523921189363760e-04	"C2H6"	6.550310038097006e-07	"pH"	5.000000000000000e+00	"pe"	-2.757842412783824e+00	"PO2"	-7.321608000000001e+01	"PH2"	-4.410835272959977e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	6.612133779237847e-04	"CH4"	6.495012954576394e-04	"CO2"	7.654710714965541e-07	"pH"	5.000000000000000e+00	"pe"	-2.695030291077239e+00	"PO2"	-7.296482399999999e+01	"PH2"	-4.536459516373148e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	8.673708158125214e-04	"C"	4.434067440701842e-04	"CO2"	5.731928669214406e-07	"pH"	5.000000000000000e+00	"pe"	-2.726436487037983e+00	"PO2"	-7.309045200000000e+01	"PH2"	-4.473647124451659e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	6.612133779237847e-04	"CH4"	6.495012954576394e-04	"CO2"	7.654710714965541e-07	"pH"	5.000000000000000e+00	"pe"	-2.695030291077239e+00	"PO2"	-7.296482399999999e+01	"PH2"	-4.536459516373148e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
