"no_heading_1"	"no_heading_2"	"no_heading_3"	"no_heading_4"	"no_heading_5"	"no_heading_6"	"no_heading_7"	"no_heading_8"	"no_heading_9"	"no_heading_10"	"no_heading_11"	"no_heading_12"	"no_heading_13"	"no_heading_14"	"no_heading_15"	"no_heading_16"	"no_heading_17"	"no_heading_18"	"no_heading_19"	"no_heading_20"	"no_heading_21"	"no_heading_22"	"no_heading_23"
"CH4"	7.082689657981804e-04	"C2H6"	9.931401084351484e-11	"pH"	5.000000000000000e+00	"pe"	-4.453837784571223e+00	"PO2"	-8.000000000000000e+01	"PH2"	-1.018844529385179e+00	"temp"	2.820000000000000e+01	2.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	7.082685548387853e-04	"C2H6"	1.577665081542128e-10	"pH"	5.000000000000000e+00	"pe"	-4.353335386596772e+00	"PO2"	-7.959799000000000e+01	"PH2"	-1.219849325334082e+00	"temp"	2.820000000000000e+01	2.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	7.082579585064950e-04	"C2H6"	1.016358625147158e-08	"pH"	5.000000000000000e+00	"pe"	-3.448812807272476e+00	"PO2"	-7.597989900000000e+01	"PH2"	-3.028894483982673e+00	"temp"	2.820000000000000e+01	2.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	6.359074486434069e-04	"CH4"	6.421248583767824e-05	"CO2"	7.754168185048791e-06	"pH"	5.000000000000000e+00	"pe"	-2.443790156406864e+00	"PO2"	-7.195979900000000e+01	"PH2"	-5.038939785713897e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	7.081567708800932e-04	"C2H6"	1.027892906908394e-07	"CO2"	8.164969458729912e-09	"pH"	5.000000000000000e+00	"pe"	-2.946300309871392e+00	"PO2"	-7.396984900000000e+01	"PH2"	-4.033919478784840e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	6.359074486434069e-04	"CH4"	6.421248583767824e-05	"CO2"	7.754168185048791e-06	"pH"	5.000000000000000e+00	"pe"	-2.443790156406864e+00	"PO2"	-7.195979900000000e+01	"PH2"	-5.038939785713897e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	6.495849420264760e-04	"C"	5.760361652472127e-05	"CO2"	7.664966237076536e-07	"pH"	5.000000000000000e+00	"pe"	-2.695044272921661e+00	"PO2"	-7.296482399999999e+01	"PH2"	-4.536431552684302e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	6.359074486434069e-04	"CH4"	6.421248583767824e-05	"CO2"	7.754168185048791e-06	"pH"	5.000000000000000e+00	"pe"	-2.443790156406864e+00	"PO2"	-7.195979900000000e+01	"PH2"	-5.038939785713897e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	5.014176441152907e-04	"CH4"	2.042351556447511e-04	"CO2"	2.437935669686061e-06	"pH"	5.000000000000000e+00	"pe"	-2.569417910837990e+00	"PO2"	-7.246231200000000e+01	"PH2"	-4.787684276851646e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CH4"	3.642370790455149e-04	"C"	3.424747076350040e-04	"CO2"	1.366992858110596e-06	"pH"	5.000000000000000e+00	"pe"	-2.632231324305832e+00	"PO2"	-7.271356800000000e+01	"PH2"	-4.662057449915961e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	5.014176441152907e-04	"CH4"	2.042351556447511e-04	"CO2"	2.437935669686061e-06	"pH"	5.000000000000000e+00	"pe"	-2.569417910837990e+00	"PO2"	-7.246231200000000e+01	"PH2"	-4.787684276851646e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	4.335242888423485e-04	"CH4"	2.727454401239020e-04	"CO2"	1.825552151076257e-06	"pH"	5.000000000000000e+00	"pe"	-2.600824660319688e+00	"PO2"	-7.258794000000000e+01	"PH2"	-4.724870777888251e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"C"	3.913213382125516e-04	"CH4"	3.151888717508463e-04	"CO2"	1.579720467008638e-06	"pH"	5.000000000000000e+00	"pe"	-2.616528004576175e+00	"PO2"	-7.265075400000001e+01	"PH2"	-4.693464089375276e+00	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
